Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,35
Demand,Non-Crime,3,Wellington,Hutt Valley Area,37
Demand,Non-Crime,3,Wellington,Hutt Valley Area,20
Demand,Non-Crime,3,Wellington,Hutt Valley Area,50
Demand,Non-Crime,3,Wellington,Hutt Valley Area,22
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,15
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,8
Demand,Non-Crime,3,Wellington,Hutt Valley Area,9
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,13
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,21
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,72
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,23
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,85
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,10
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,11
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,10
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,8
Demand,Non-Crime,3,Wellington,Wairarapa Area,7
Demand,Non-Crime,3,Wellington,Wairarapa Area,6
Demand,Non-Crime,3,Wellington,Wairarapa Area,38
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,35
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,27
Demand,Non-Crime,3,Wellington,Wellington Area,39
Demand,Non-Crime,3,Wellington,Wellington Area,15
Demand,Non-Crime,3,Wellington,Wellington Area,65
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,9
Demand,Non-Crime,3,Wellington,Wellington Area,8
Demand,Non-Crime,3,Wellington,Wellington Area,25
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,10
Demand,Non-Crime,3,Wellington,Hutt Valley Area,69
Demand,Non-Crime,3,Wellington,Hutt Valley Area,55
Demand,Non-Crime,3,Wellington,Hutt Valley Area,45
Demand,Non-Crime,3,Wellington,Hutt Valley Area,86
Demand,Non-Crime,3,Wellington,Hutt Valley Area,43
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,5
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,8
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,7
Demand,Non-Crime,3,Wellington,Hutt Valley Area,105
Demand,Non-Crime,3,Wellington,Hutt Valley Area,81
Demand,Non-Crime,3,Wellington,Hutt Valley Area,26
Demand,Non-Crime,3,Wellington,Hutt Valley Area,70
Demand,Non-Crime,3,Wellington,Hutt Valley Area,35
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,3
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,2
Demand,Non-Crime,3,Wellington,Hutt Valley Area,4
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Hutt Valley Area,6
Demand,Non-Crime,3,Wellington,Hutt Valley Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,10
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,94
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,57
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,91
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,7
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,6
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,4
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,18
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,104
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,61
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,68
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,1
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,16
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,2
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,3
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,5
Demand,Non-Crime,3,Wellington,Kapiti-Mana Area,11
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,10
Demand,Non-Crime,3,Wellington,Wairarapa Area,10
Demand,Non-Crime,3,Wellington,Wairarapa Area,8
Demand,Non-Crime,3,Wellington,Wairarapa Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,74
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,5
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,10
Demand,Non-Crime,3,Wellington,Wairarapa Area,11
Demand,Non-Crime,3,Wellington,Wairarapa Area,4
Demand,Non-Crime,3,Wellington,Wairarapa Area,7
Demand,Non-Crime,3,Wellington,Wairarapa Area,99
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,2
Demand,Non-Crime,3,Wellington,Wairarapa Area,3
Demand,Non-Crime,3,Wellington,Wairarapa Area,6
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,1
Demand,Non-Crime,3,Wellington,Wairarapa Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,9
Demand,Non-Crime,3,Wellington,Wellington Area,79
Demand,Non-Crime,3,Wellington,Wellington Area,60
Demand,Non-Crime,3,Wellington,Wellington Area,267
Demand,Non-Crime,3,Wellington,Wellington Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,21
Demand,Non-Crime,3,Wellington,Wellington Area,6
Demand,Non-Crime,3,Wellington,Wellington Area,8
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,57
Demand,Non-Crime,3,Wellington,Wellington Area,50
Demand,Non-Crime,3,Wellington,Wellington Area,1882
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,1
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,5
Demand,Non-Crime,3,Wellington,Wellington Area,2
Demand,Non-Crime,3,Wellington,Wellington Area,3
Demand,Non-Crime,3,Wellington,Wellington Area,4
Demand,Non-Crime,3,Wellington,Wellington Area,7
Demand,Non-Crime,4,Auckland City,Auckland Central Area,174
Demand,Non-Crime,4,Auckland City,Auckland Central Area,16
Demand,Non-Crime,4,Auckland City,Auckland Central Area,34
Demand,Non-Crime,4,Auckland City,Auckland Central Area,1
Demand,Non-Crime,4,Auckland City,Auckland Central Area,1
Demand,Non-Crime,4,Auckland City,Auckland Central Area,1
Demand,Non-Crime,4,Auckland City,Auckland Central Area,28
Demand,Non-Crime,4,Auckland City,Auckland Central Area,7
Demand,Non-Crime,4,Auckland City,Auckland East Area,48
Demand,Non-Crime,4,Auckland City,Auckland East Area,39
Demand,Non-Crime,4,Auckland City,Auckland East Area,44
Demand,Non-Crime,4,Auckland City,Auckland East Area,46
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,3
Demand,Non-Crime,4,Auckland City,Auckland East Area,8
Demand,Non-Crime,4,Auckland City,Auckland East Area,6
Demand,Non-Crime,4,Auckland City,Auckland East Area,5
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,22
Demand,Non-Crime,4,Auckland City,Auckland East Area,17
Demand,Non-Crime,4,Auckland City,Auckland East Area,24
Demand,Non-Crime,4,Auckland City,Auckland East Area,10
Demand,Non-Crime,4,Auckland City,Auckland West Area,108
Demand,Non-Crime,4,Auckland City,Auckland West Area,77
Demand,Non-Crime,4,Auckland City,Auckland West Area,50
Demand,Non-Crime,4,Auckland City,Auckland West Area,14
Demand,Non-Crime,4,Auckland City,Auckland West Area,11
Demand,Non-Crime,4,Auckland City,Auckland West Area,5
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,61
Demand,Non-Crime,4,Auckland City,Auckland West Area,20
Demand,Non-Crime,4,Auckland City,Auckland West Area,22
Demand,Non-Crime,4,Auckland City,Auckland Central Area,102
Demand,Non-Crime,4,Auckland City,Auckland Central Area,19
Demand,Non-Crime,4,Auckland City,Auckland Central Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,177
Demand,Non-Crime,4,Auckland City,Auckland East Area,109
Demand,Non-Crime,4,Auckland City,Auckland East Area,88
Demand,Non-Crime,4,Auckland City,Auckland East Area,92
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,237
Demand,Non-Crime,4,Auckland City,Auckland West Area,70
Demand,Non-Crime,4,Auckland City,Auckland West Area,65
Demand,Non-Crime,4,Auckland City,Auckland West Area,7
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland Central Area,5
Demand,Non-Crime,4,Auckland City,Auckland Central Area,2
Demand,Non-Crime,4,Auckland City,Auckland Central Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,12
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,5
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,5
Demand,Non-Crime,4,Auckland City,Auckland East Area,6
Demand,Non-Crime,4,Auckland City,Auckland East Area,3
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,23
Demand,Non-Crime,4,Auckland City,Auckland West Area,12
Demand,Non-Crime,4,Auckland City,Auckland West Area,2
Demand,Non-Crime,4,Auckland City,Auckland West Area,14
Demand,Non-Crime,4,Auckland City,Auckland West Area,14
Demand,Non-Crime,4,Auckland City,Auckland West Area,5
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,2
Demand,Non-Crime,4,Auckland City,Auckland Central Area,75
Demand,Non-Crime,4,Auckland City,Auckland Central Area,1
Demand,Non-Crime,4,Auckland City,Auckland Central Area,25
Demand,Non-Crime,4,Auckland City,Auckland Central Area,3
Demand,Non-Crime,4,Auckland City,Auckland East Area,47
Demand,Non-Crime,4,Auckland City,Auckland East Area,32
Demand,Non-Crime,4,Auckland City,Auckland East Area,87
Demand,Non-Crime,4,Auckland City,Auckland East Area,35
Demand,Non-Crime,4,Auckland City,Auckland East Area,6
Demand,Non-Crime,4,Auckland City,Auckland East Area,10
Demand,Non-Crime,4,Auckland City,Auckland East Area,12
Demand,Non-Crime,4,Auckland City,Auckland East Area,9
Demand,Non-Crime,4,Auckland City,Auckland West Area,125
Demand,Non-Crime,4,Auckland City,Auckland West Area,90
Demand,Non-Crime,4,Auckland City,Auckland West Area,49
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,2
Demand,Non-Crime,4,Auckland City,Auckland West Area,32
Demand,Non-Crime,4,Auckland City,Auckland West Area,11
Demand,Non-Crime,4,Auckland City,Auckland West Area,7
Demand,Non-Crime,4,Auckland City,Auckland Central Area,7
Demand,Non-Crime,4,Auckland City,Auckland Central Area,303
Demand,Non-Crime,4,Auckland City,Auckland Central Area,40
Demand,Non-Crime,4,Auckland City,Auckland Central Area,91
Demand,Non-Crime,4,Auckland City,Auckland Central Area,305
Demand,Non-Crime,4,Auckland City,Auckland Central Area,17
Demand,Non-Crime,4,Auckland City,Auckland Central Area,25
Demand,Non-Crime,4,Auckland City,Auckland Central Area,31
Demand,Non-Crime,4,Auckland City,Auckland Central Area,3
Demand,Non-Crime,4,Auckland City,Auckland Central Area,42
Demand,Non-Crime,4,Auckland City,Auckland Central Area,2
Demand,Non-Crime,4,Auckland City,Auckland Central Area,55
Demand,Non-Crime,4,Auckland City,Auckland Central Area,1
Demand,Non-Crime,4,Auckland City,Auckland Central Area,7
Demand,Non-Crime,4,Auckland City,Auckland Central Area,13
Demand,Non-Crime,4,Auckland City,Auckland Central Area,3
Demand,Non-Crime,4,Auckland City,Auckland Central Area,9
Demand,Non-Crime,4,Auckland City,Auckland Central Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,38
Demand,Non-Crime,4,Auckland City,Auckland East Area,307
Demand,Non-Crime,4,Auckland City,Auckland East Area,15
Demand,Non-Crime,4,Auckland City,Auckland East Area,28
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,195
Demand,Non-Crime,4,Auckland City,Auckland East Area,163
Demand,Non-Crime,4,Auckland City,Auckland East Area,153
Demand,Non-Crime,4,Auckland City,Auckland East Area,141
Demand,Non-Crime,4,Auckland City,Auckland East Area,3
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,3
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,3
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,8
Demand,Non-Crime,4,Auckland City,Auckland East Area,9
Demand,Non-Crime,4,Auckland City,Auckland East Area,7
Demand,Non-Crime,4,Auckland City,Auckland East Area,34
Demand,Non-Crime,4,Auckland City,Auckland East Area,15
Demand,Non-Crime,4,Auckland City,Auckland East Area,13
Demand,Non-Crime,4,Auckland City,Auckland East Area,17
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,471
Demand,Non-Crime,4,Auckland City,Auckland West Area,48
Demand,Non-Crime,4,Auckland City,Auckland West Area,179
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,9
Demand,Non-Crime,4,Auckland City,Auckland West Area,8
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,342
Demand,Non-Crime,4,Auckland City,Auckland West Area,185
Demand,Non-Crime,4,Auckland City,Auckland West Area,187
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,2
Demand,Non-Crime,4,Auckland City,Auckland West Area,10
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,11
Demand,Non-Crime,4,Auckland City,Auckland West Area,4
Demand,Non-Crime,4,Auckland City,Auckland West Area,27
Demand,Non-Crime,4,Auckland City,Auckland West Area,11
Demand,Non-Crime,4,Auckland City,Auckland West Area,6
Demand,Non-Crime,4,Auckland City,Auckland West Area,5
Demand,Non-Crime,4,Auckland City,Auckland West Area,43
Demand,Non-Crime,4,Auckland City,Auckland West Area,30
Demand,Non-Crime,4,Auckland City,Auckland West Area,23
Demand,Non-Crime,4,Auckland City,Auckland West Area,2
Demand,Non-Crime,4,Auckland City,Auckland West Area,2
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,4
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland Central Area,2
Demand,Non-Crime,4,Auckland City,Auckland Central Area,1
Demand,Non-Crime,4,Auckland City,Auckland Central Area,3
Demand,Non-Crime,4,Auckland City,Auckland Central Area,27
Demand,Non-Crime,4,Auckland City,Auckland Central Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,4
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,27
Demand,Non-Crime,4,Auckland City,Auckland East Area,15
Demand,Non-Crime,4,Auckland City,Auckland East Area,19
Demand,Non-Crime,4,Auckland City,Auckland East Area,19
Demand,Non-Crime,4,Auckland City,Auckland East Area,1
Demand,Non-Crime,4,Auckland City,Auckland East Area,2
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,2
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,6
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,3
Demand,Non-Crime,4,Auckland City,Auckland West Area,49
Demand,Non-Crime,4,Auckland City,Auckland West Area,11
Demand,Non-Crime,4,Auckland City,Auckland West Area,12
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,1
Demand,Non-Crime,4,Auckland City,Auckland West Area,52
Demand,Non-Crime,4,Auckland City,Auckland Central Area,38
Demand,Non-Crime,4,Auckland City,Auckland Central Area,2
Demand,Non-Crime,4,Auckland City,Auckland Central Area,275
Demand,Non-Crime,4,Auckland City,Auckland Central Area,14
